CompanyID,CompanyName,CompanyWebsite,CompanyType,Status,BusinessDescription,TaxID,FoundedYear,NUM_Employees_From,NUM_Employees_To,DateOfEmployee,Full_HQ_Address,Full_HQ_Address_Source,address_level_1,Country,administrative_area_level_1,Locality,Source,CompanyEmail,Country_Code,Phone,ZipCode,LinkedIn,FaceBook,Youtube,Twitter,DUNSNumber,SICCode,CageCode
4756212,"Sae-A Industrial Co., Ltd.",http://www.sae-a.net,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4939120,Delta Tool & Die Steel Block Company,http://www.deltastamping.com,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4410408,"Taizhou Huangyan Durable Tools Co., Ltd.",http://www.durable-tools.cn,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5645831,"Precision Environmental & Power, Inc.",http://precenv.com,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4755136,"Dongwoo Co., Ltd.",http://www.e-dongwoo.com,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4756201,Okaya Mexico Sa De Cv,https://www.okaya.co.jp/en/network/overseas/list/index.html,Private,Done,"OKAYA MEXICO S.A. DE C.V. is an overseas business location of OKAYA & CO., LTD., a trading company that supplies products and services across iron and steel, information and electronics, industrial machinery and materials, and living-related products through a global network.",N/A,2014,N/A,N/A,N/A,"Piso 10 Del Edificio Hotel Hampton Inn, Boulevard Lopez Mateos Numero 1717, Col Los Gavilanes C.P. 37270, Leon Guanajuato, Mexico",https://www.okaya.co.jp/en/network/overseas/list/index.html,"Piso 10 Del Edificio Hotel Hampton Inn, Boulevard Lopez Mateos Numero 1717, Col Los Gavilanes",Mexico,Guanajuato,Leon,https://www.okaya.co.jp/en/network/overseas/list/index.html,N/A,+52,(477)763-1687,37270,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5642980,"Barcode Service, Inc.",http://www.barcodeserv.com,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4939183,Dpr Industria,http://dprfixadores.com.br,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4619533,Shanghai Haitai Auto Parts Co Ltd.,http://www.sh-puati.com,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4244317,"E & Tech Co., Ltd.",http://www.e-n-tech.com,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4940457,Immanuel & Associates,http://www.immanuelandassociates.com,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5246851,Bara Chemical Co .Ltd.,http://barachem.co.th,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5154265,"Nsi (Thailand) Co.,Ltd.",https://nsith.com,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5155055,Sjsa Participacoes S.A.,http://sjsa.com.br,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4756095,Altia Group,http://www.altiagroup.fr,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5244641,Sangsung Ind. Co.,http://www.sangsung.kr,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4028428,"Shinsung Chemicals Co., Ltd.",http://www.shinsungchem.com,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4534627,Eva Precision Industrial (Suzhou),http://eva-suzhou.com,Private,Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
